"","ref_id","analysis_type","model_type","data_source","topics","country_list","species_list","reviewed_by","reviewed_date","general_application","specific_issue","paradigm","species_range"
"17","ISI000274354200016",NA,"{""Ensemble model""}",NA,"{Conservation,Ecology}",NA,NA,"JRFP",2021-05-14 10:53:36,"{""Relation with environmental variables"",""Seasonality/Migratory movements"",""Coverage in protected areas""}","{""Coverage by Protected Areas"",""Change in distribution driven by habitat loss"",""Change in distribution driven by climate change"",""Seasonal distribution patterns"",""Migration patterns""}","{NM}","{Native}"
"18","ISI000307128800003",NA,"{""Jaccard index"",""Detectability test""}","{""field work""}","{Biodiversity}",NA,NA,"JRFP",2021-09-15 04:46:44,"{""Ecological communities""}","{""Richness and alpha-diversity""}","{(OM)}","{Native}"
"19","ISI000323930500024",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-14 11:33:15,NA,NA,NA,NA
"20","ISI000482449400006",NA,"{""Maximum Entropy (MaxEnt)"",""General Linear Model (GLM)""}",NA,"{Ecology}",NA,NA,"JRFP",2021-09-15 04:36:21,"{""Relation with environmental variables""}","{""Determining areas for survey""}","{RSF,NM}","{Native}"
"21","ISI000452732100007",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-09-15 04:43:03,"{""Relation with environmental variables""}","{""Variables affecting distribution""}","{NM}","{Native}"
"22","ISI000263128000003",NA,"{ENFA}",NA,"{""Invasion ecology""}",NA,NA,"Ada Sanchez",2021-05-17 01:03:50,"{""Predictions of invasion risk""}","{""Potential range of invasive species""}","{NM}","{Non-native}"
"23","ISI000412620100029",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Behavior}","{Mexico}",NA,"Ada Sanchez",2021-05-17 01:07:45,"{""Temporal distribution patterns""}","{""Movement related to environmental factors""}","{NM}","{Native}"
"24","ISI000409319400006",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Ecology}","{Australia}",NA,"Ada Sanchez",2021-05-17 01:26:08,"{""Relation with environmental variables""}","{""Identifying breeding habitat"",""Interannual variability in distribution""}","{NM}","{Native}"
"25","ISI000241621800003",NA,"{""Generalized Linear Models (GLM)""}",NA,"{""Invasion ecology""}",NA,NA,"Ada Sanchez",2021-05-17 01:29:15,"{""Predictions of invasion risk""}","{""Potential range of invasive species""}","{NM}","{Non-native}"
"26","ISI000446830200001",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 01:34:54,NA,NA,NA,NA
"27","ISI000279100600004",NA,"{none}",NA,"{Behavior}",NA,NA,"Ada Sanchez",2021-05-17 01:39:00,"{""Temporal distribution patterns""}","{""Movement related to environmental factors""}",NA,NA
"28","ISI000182064500010",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 01:41:41,NA,NA,NA,NA
"29","ISI000339831300013",NA,"{""connectivity analysis""}",NA,"{Ecology}","{Australia}",NA,"Ada Sanchez",2021-05-17 01:48:18,"{""Relation with environmental variables""}","{""Variables affecting distribution""}","{NM}","{Native}"
"30","ISI000453889700008",NA,"{""Generalized Additive Models (GAM)""}",NA,"{Ecology}","{Australia}",NA,"Ada Sanchez",2021-05-17 01:55:15,"{Macroecology}","{""Abundance-occupancy relationship""}","{NM}","{Native}"
"31","ISI000166877800007",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 01:58:50,NA,NA,NA,NA
"32","ISI000256951200008",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 03:57:20,NA,NA,NA,NA
"33","ISI000235885500008",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 04:02:19,NA,NA,NA,NA
"34","ISI000253983000009",NA,"{""Generalized Linear Models (GLM)""}",NA,"{Ecology}","{Australia}",NA,"Ada Sanchez",2021-05-17 04:07:23,"{""Relation with environmental variables""}","{""Identifying breeding habitat""}","{RSF}","{Native}"
"35","ISI000231194500012",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 04:09:50,NA,NA,NA,NA
"36","ISI000281125400022",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 04:15:11,NA,NA,NA,NA
"37","ISI000173000300001",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 04:17:58,NA,NA,NA,NA
"38","ISI000418955600005",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 04:20:50,NA,NA,NA,NA
"39","ISI000482449400005",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 04:22:08,NA,NA,NA,NA
"40","ISI000375474800010",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{""Invasion ecology""}",NA,NA,"Ada Sanchez",2021-05-17 04:27:06,"{""Predictions of invasion risk""}","{""Establishment of non-native specie""}","{NM}","{Non-native}"
"41","ISI000244179000012",NA,"{""Generalized Additive Models (GAM)""}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-05-17 04:32:01,"{""Relation with environmental variables""}","{""Interannual variability in distribution""}","{NM}","{Native}"
"42","ISI000546028800013",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 04:33:20,NA,NA,NA,NA
"43","ISI000250833000014",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 04:38:17,NA,NA,NA,NA
"44","ISI000468531300019",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 04:39:27,NA,NA,NA,NA
"45","ISI000257472700002",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 04:40:23,NA,NA,NA,NA
"46","ISI000306362400087",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 04:44:32,NA,NA,NA,NA
"47","ISI000381431100006",NA,"{""Bioclimatic enveloped""}",NA,"{Conservation}","{Australia}",NA,"Ada Sanchez",2021-05-17 05:33:54,"{""Climate change""}","{""Change in distribution driven by climate change""}","{NM}","{Native}"
"48","ISI000170068500008",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 05:36:03,NA,NA,NA,NA
"49","ISI000553532400022",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 05:37:29,NA,NA,NA,NA
"50","ISI000453548100002",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 05:41:03,NA,NA,NA,NA
"51","ISI000307485300010",NA,"{""Generalized Linear Models (GLM)""}",NA,"{""Invasion ecology"",Ecology}","{Spain}",NA,"Ada Sanchez",2021-05-17 05:46:11,"{""Relation with environmental variables"",""Predictions of invasion risk""}","{""Variables affecting distribution"",""Establishment of non-native specie""}","{NM}","{Non-native}"
"52","ISI000280457500009",NA,"{""Maximum Entropy (MaxEnt)""}","{""literature records""}","{Behavior}",NA,NA,"JRFP",2021-09-15 04:50:52,"{""Habitat use related to behaviour types""}","{""Occurrence of behaviour types"",""Drivers of behaviour types""}","{""not clear""}","{Native}"
"53","ISI000185866900005",NA,"{none}","{""field work""}","{Biodiversity}",NA,NA,"JRFP",2021-09-15 04:52:42,"{""Ecological communities""}","{""Richness and alpha-diversity"",""Change in distribution driven by habitat loss"",Composition,Turnover,""Beta diversity""}","{none}","{Native}"
"54","ISI000508614900001",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 05:54:00,NA,NA,NA,NA
"55","ISI000345228200013",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 05:56:10,NA,NA,NA,NA
"56","ISI000259301200004",NA,"{""General Linear Model (GLM)""}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-05-17 06:00:31,"{""Relation with environmental variables""}","{""Variables affecting distribution""}","{NM}","{Native}"
"57","ISI000427246300005",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 23:30:55,NA,NA,NA,NA
"58","ISI000376798800021",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-05-17 06:13:16,"{""Climate change""}","{""Combined effects of climate and habitat changes""}","{NM}",NA
"59","ISI000400304700003",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 06:22:59,NA,NA,NA,NA
"60","ISI000256158100021",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 06:39:01,NA,NA,NA,NA
"61","ISIA1993LF32000004",NA,"{none}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-05-17 06:48:57,"{""Threats monitoring""}","{""Change in distribution driven by habitat loss""}",NA,NA
"62","ISI000273100500002",NA,"{""GENETIC ALGORITHM FOR RULE-SET PREDICTION (GARP)""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-05-17 06:52:39,"{""Threats monitoring""}","{""Change in distribution driven by habitat loss""}","{NM}","{Native}"
"63","ISI000470781300001",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{""Invasion ecology""}",NA,NA,"Ada Sanchez",2021-05-17 06:57:38,"{""Predictions of invasion risk""}","{""Establishment of non-native specie""}","{NM}","{Non-native}"
"64","ISI000299703400009",NA,"{""GENETIC ALGORITHM FOR RULE-SET PREDICTION (GARP)""}",NA,"{Conservation}","{Mexico}",NA,"Ada Sanchez",2021-05-17 07:00:19,"{""Threats monitoring""}","{""Change in distribution driven by habitat loss""}","{NM}","{Native}"
"65","ISI000477805900013",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Conservation}","{""Côte d’Ivoire"",Liberia,Guinea}",NA,"Ada Sanchez",2021-05-17 07:25:01,"{""Climate change""}","{""Change in distribution driven by climate change""}","{NM}","{Native}"
"66","ISI000350353200001",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-05-17 07:27:12,"{""Climate change""}","{""Change in distribution driven by climate change""}","{NM}","{Native}"
"67","ISI000414077300007",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 07:33:34,NA,NA,NA,NA
"68","ISI000254633700007",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 22:52:17,NA,NA,NA,NA
"69","ISI000328804300017",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-05-17 23:00:02,"{""Climate change""}","{""Evaluating or forecasting the effect of environmental changes""}","{NM}","{Native}"
"70","ISI000417917800008",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Conservation}",NA,"{""Psittacus erithacus"",""Psittacula krameri"",""Psittacara mitratus"",""Psittacara frontatus"",""Poicephalus senegalus"",""Amazona amazonica"",""Amazona ochrocephala"",""Ara ararauna"",""Ara chloropterus"",""Cyanoliseus patagonus"",""Myiopsitta monachus"",""Poicephalus gulielmi""}","Ada Sanchez",2021-05-17 23:06:53,"{""Spatial prediction""}","{""Effect of conservation actions""}","{NM}","{Non-native}"
"71","ISI000338623400001",NA,"{""theoretical Weibull probability distribution""}",NA,"{Conservation}",NA,"{""Calyptorhynchus latirostris""}","Ada Sanchez",2021-05-17 23:16:37,"{""Spatial prediction""}","{""Resource distribution""}","{NM}","{Native}"
"72","ISI000333011700003",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{""Invasion ecology""}",NA,"{""Psittacula krameri"",""Myiopsitta monachus""}","Ada Sanchez",2021-05-17 23:22:56,"{""Predictions of invasion risk""}","{""niche shift""}","{NM}","{Non-native}"
"73","ISI000370066200022",NA,"{""Ensemble model""}",NA,"{""Invasion ecology""}","{Global}",NA,"Ada Sanchez",2021-05-17 23:28:57,"{""Predictions of invasion risk""}","{""niche shift""}","{NM}","{Non-native}"
"74","ISI000186599300011",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 23:36:57,NA,NA,NA,NA
"75","ISI000306208300011",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-17 23:37:48,NA,NA,NA,NA
"76","ISI000282115100011",NA,"{""kernel methods""}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-05-17 23:47:32,"{""Relation with environmental variables""}","{""Interannual variability in distribution""}","{RSF}","{Native}"
"77","ISI000418999900019",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-05-17 23:58:19,"{""Relation with environmental variables""}","{""Variables affecting distribution""}","{NM}","{Native}"
"78","ISI000343865300008",NA,"{""Bioclimatic enveloped""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-05-18 00:02:09,"{""Threats monitoring""}","{""Threat distribution""}","{NM}","{Native}"
"79","ISI000312089400007",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Conservation}",NA,"{""Pyrrhura picta"",""Pyrrhura melanura"",""Pyrrhura calliptera""}","Ada Sanchez",2021-05-18 00:08:51,"{""Spatial prediction""}","{""Identification of priority areas for conservation""}","{NM}","{Native}"
"80","ISI000306477000005",NA,"{""General Linear Model (GLM)"",""Ensemble Models""}",NA,"{Conservation}",NA,NA,"JRFP",2021-09-15 04:57:19,"{""Threats monitoring""}","{""Input for population models / population viability analysis"",""Simulating effects of threats/actions""}","{NM}","{Native}"
"81","ISI000284038500028",NA,"{""GENETIC ALGORITHM FOR RULE-SET PREDICTION (GARP)""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-05-18 00:13:00,"{""Threats monitoring""}","{""Change in distribution driven by habitat loss""}","{NM}","{Native}"
"82","ISI000556843900031",NA,"{""N-mixture models""}",NA,"{""Methodological issues""}",NA,NA,"Ada Sanchez",2021-05-18 00:23:46,"{""Improving estimation""}","{""Factors affecting distribution estimation""}","{OM}","{Native}"
"83","ISI000426506100003",NA,"{""dynamic occupancy models""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-05-18 00:29:24,"{""Climate change""}","{""Change in distribution driven by climate change""}","{OM}","{Native}"
"84","ISI000418999900010",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-18 00:34:54,NA,NA,NA,NA
"85","ISI000248965200012",NA,"{""Mixed procedure of SAS""}",NA,"{""Invasion ecology""}",NA,NA,"Ada Sanchez",2021-05-18 00:43:50,"{""Predictions of invasion risk""}","{""Limitations into invasion risk""}","{RSF}","{Non-native}"
"86","ISIA1997XW04000005",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-20 03:24:18,NA,NA,NA,NA
"87","ISI000415740100006",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-20 03:29:05,NA,NA,NA,NA
"88","ISI000383607200012",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-20 04:12:01,NA,NA,NA,NA
"89","ISI000246671800002",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-20 04:13:03,NA,NA,NA,NA
"90","ISI000256158100014",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-05-20 04:19:19,"{""Relation with environmental variables""}","{""Variables affecting distribution""}","{NM}","{Native}"
"91","ISI000337723100003",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-20 04:23:14,NA,NA,NA,NA
"92","ISI000292478300006",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-21 03:31:40,NA,NA,NA,NA
"93","ISI000561132900001",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{evolution}",NA,NA,"Ada Sanchez",2021-05-21 03:59:44,"{""Biogeographic patterns""}","{""Change in historical distribution""}","{NM}","{Native}"
"94","ISI000245693700008",NA,"{""GENETIC ALGORITHM FOR RULE-SET PREDICTION (GARP)""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-05-21 04:03:31,"{""Climate change""}","{""Change in distribution driven by climate change""}","{NM}","{Native}"
"95","ISI000398599800006",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-21 04:08:14,NA,NA,NA,NA
"96","AY0000000000000022",NA,"{""GENETIC ALGORITHM FOR RULE-SET PREDICTION (GARP)""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-05-21 05:34:16,"{""Spatial prediction"",""Threats monitoring""}","{""Change in distribution driven by habitat loss"",""Coverage by Protected Areas""}","{NM}","{Native}"
"97","ISI000399810100018",NA,"{""General Linear Model (GLM)""}",NA,"{""Invasion ecology""}",NA,NA,"Ada Sanchez",2021-05-27 06:48:46,"{""Predictions of invasion risk""}","{""Potential range of invasive species""}","{NM}","{Non-native}"
"98","ISI000505627800002",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-27 08:16:04,NA,NA,NA,NA
"99","ISI000330907800009",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-05-27 08:21:02,"{Macroecology}","{""Effect of biotic interactions on distribution""}","{NM}","{Native}"
"100","ISI000423412500076",NA,"{""Generalized Linear Models (GLM)""}",NA,"{Conservation}","{Ecuador}",NA,"Ada Sanchez",2021-05-27 08:25:28,"{""Climate change""}","{""Change in distribution driven by climate change""}",NA,NA
"101","ISI000248669100044",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-27 08:26:38,NA,NA,NA,NA
"102","ISI000305115600001",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-27 08:27:31,NA,NA,NA,NA
"103","ISI000263245200003",NA,"{""Generalized Linear Models (GLM)""}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-05-27 08:34:02,"{Macroecology}","{""Global distribution patterns of diet type""}","{NM}","{Native}"
"104","ISI000501192700003",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-05-27 08:36:52,"{""Relation with environmental variables""}","{""Variables affecting distribution""}","{NM}","{Native}"
"105","ISIA1997WP12200005",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-27 08:49:47,NA,NA,NA,NA
"106","ISI000268744900007",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-28 00:24:29,NA,NA,NA,NA
"107","ISI000343187200020",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-05-28 00:30:52,"{""Relation with environmental variables""}","{""Identifying breeding habitat""}","{NM}","{Native}"
"108","ISI000232500900001",NA,"{""Bioclimatic enveloped""}",NA,"{Ecology}",NA,NA,"Ada Sanchez",2021-05-28 00:43:25,"{""Relation with environmental variables""}","{""Identifying potential habitat""}","{NM}","{Native}"
"109","ISI000208195300005",NA,"{""Monte Carlo simulation method""}",NA,"{Ecology}","{""Puerto Rico""}",NA,"Ada Sanchez",2021-05-28 00:51:23,"{""Relation with environmental variables""}","{""Identifying breeding habitat""}","{RSF}","{Native}"
"110","ISI000349509400010",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Conservation}",NA,"{""Amazona farinosa"",""Amazona oratrix"",""Pyrilia haematotis"",""Pionus senilis"",""Amazona autumnalis"",""Amazona albifrons"",""Amazona xantholora"",""Eupsittula nana""}","Ada Sanchez",2021-05-28 00:58:28,"{""Threats monitoring""}","{""Fragmentation effect""}","{NM}","{Native}"
"111","ISI000168812900006",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-28 00:59:53,NA,NA,NA,NA
"112","ISI000250297300006",NA,"{""General Linear Model (GLM)"",""Maximum Entropy (MaxEnt)""}",NA,"{Ecology,""Methodological issues""}",NA,NA,"Ada Sanchez",2021-05-28 01:04:00,"{""Relation with environmental variables"",""Improving estimation""}","{""Model comparisons"",""Variables affecting distribution""}","{NM}","{Native}"
"113","ISI000434053500010",NA,"{""Single Season Occupancy Model (SS-OM)""}",NA,"{Conservation}","{Australia}",NA,"Ada Sanchez",2021-05-28 01:15:26,"{""Threats monitoring""}","{""Threat distribution""}","{OM}","{Native}"
"114","ISI000535629300001",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-28 01:21:14,NA,NA,NA,NA
"115","ISIA1996VW08500002",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-28 01:29:16,NA,NA,NA,NA
"116","ISI000209469200006",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-28 01:30:44,NA,NA,NA,NA
"117","ISI000383607200013",NA,"{""Zero Inflated Binomial - Generalized Additive Models (ZIB-GAM)""}",NA,"{""Methodological issues""}","{Australia}","{""Calyptorhynchus latirostris""}","Ada Sanchez",2021-05-28 01:38:54,"{""Survey methodology biases""}","{""Evaluating citizen science data""}","{NM}","{Native}"
"118","ISI000408449700003",NA,"{""multi-season occupancy models""}",NA,"{Conservation}",NA,"{""Poicephalus robustus""}","Ada Sanchez",2021-05-28 01:48:36,"{""Threats monitoring""}","{""Change in distribution driven by habitat loss""}","{OM}","{Native}"
"119","ISI000344423000014",NA,"{none}",NA,NA,"{Argentina}",NA,"Ada Sanchez",2021-05-31 06:13:24,NA,NA,NA,NA
"120","ISI000257049500001",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-31 06:18:11,NA,NA,NA,NA
"121","ISI000304290600007",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-31 06:20:28,NA,NA,NA,NA
"122","ISI000239112400007",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-05-31 06:21:34,NA,NA,NA,NA
"123","ISI000430667700002",NA,"{""Ensemble model""}",NA,"{""Invasion ecology""}","{France}",NA,"Ada Sanchez",2021-05-31 06:28:47,"{""Predictions of invasion risk""}","{""niche shift""}","{NM}","{Non-native}"
"124","ISI000089667700003",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 00:33:52,NA,NA,NA,NA
"125","ISI000406323100041",NA,"{""Maximum Entropy (MaxEnt)""}",NA,"{Evolution}","{USA}",NA,"Ada Sanchez",2021-06-01 00:43:15,"{""Biogeographic patterns""}","{""Understanding distribution of extincted species""}","{NM}","{Native}"
"126","ISI000354289100008",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 00:44:35,NA,NA,NA,NA
"127","ISI000347644000010",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 00:46:07,NA,NA,NA,NA
"128","ISI000448409000025",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 00:47:52,NA,NA,NA,NA
"129","ISI000501640800008",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 00:49:18,NA,NA,NA,NA
"130","ISI000357622700011",NA,"{""Single Season Occupancy Model (SS-OM)""}",NA,"{Conservation}","{Bolivia}",NA,"Ada Sanchez",2021-06-01 00:55:40,"{""Threats monitoring""}","{""Fragmentation effect""}","{OM}",NA
"131","ISI000277168000006",NA,"{""Random Forest (RF)""}",NA,"{""Invasion ecology""}",NA,NA,"Ada Sanchez",2021-06-01 01:00:20,"{""Invasion effect""}","{""Impacts on native species""}","{NM}","{Non-native}"
"132","ISI000393199400011",NA,"{""Single Season Occupancy Model (SS-OM)""}",NA,"{Conservation}",NA,NA,"Ada Sanchez",2021-06-01 02:23:17,"{""Threats monitoring""}","{""Threat effect on distribution/occupancy""}","{OM}","{Native}"
"133","ISI000387783000007",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 02:24:31,NA,NA,NA,NA
"134","ISI000188970200010",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 02:25:40,NA,NA,NA,NA
"135","ISI000171692900002",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 02:27:05,NA,NA,NA,NA
"136","ISI000242900700002",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 02:28:03,NA,NA,NA,NA
"137","ISI000572153000001",NA,"{""Single Season Occupancy Model (SS-OM)""}",NA,"{Conservation,""Invasion ecology""}",NA,NA,"Ada Sanchez",2021-06-01 05:43:55,"{""Spatial prediction"",""Predictions of invasion risk""}","{""Effect of conservation actions"",""Establishment of non-native specie""}","{OM}","{Non-native}"
"138","ISI000169271500009",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 05:46:41,NA,NA,NA,NA
"139","ISI000337723100002",NA,"{none}",NA,NA,NA,NA,"Ada Sanchez",2021-06-01 05:50:08,NA,NA,NA,NA
