assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
93093067,22685937,Forpus conspicillatus,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be increasing, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'common' (Stotz et al. (1996).",Increasing,,,Terrestrial,,Neotropical,,false,false,Global
93093262,22685940,Forpus modestus,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'fairly common' (Stotz et al. (1996).",Stable,,,Terrestrial,,Neotropical,,false,false,Global
93093666,22685952,Forpus xanthops,Vulnerable,D1+2,2016,2016-10-01 00:00:00 UTC,3.1,English,"Rapid population reductions have been observed in this species owing to exploitation for the cage-bird trade. The rate of decline was probably very rapid during the early 1980s, but the situation has now improved. In the absence of recent field surveys, its conservation status is difficult to assess, but is considered Vulnerable because of the reduced level of trade. The species is currently known from only a few locations and has a very small range, so if trading were to increase and the population declined again, its status would revert to Endangered.<p></p>","It inhabits arid woodland, riparian thickets and desert scrub (Juniper and Parr 1998)<strong></strong> at 600-2,000&#160;m (Schulenberg <span style=""font-style: italic;"">et al</span>. 2007)<strong></strong>. It is known to feed on canaquil <span style=""font-style: italic;"">Cercidium praecox</span>, pate flowers <span style=""font-style: italic;"">Bombax discolor</span>, and plum fruits <span style=""font-style: italic;"">Prunus domestica</span> (Begazo 1996, F. Angulo Pratolongo <span style=""font-style: italic;"">in litt.</span> 2012). In captivity, 3-6 eggs are laid, and up to three broods are raised per year. In the wild, the breeding season begins in March and April, and nesting takes place in natural dirt and rock walls, in colonies of up to 70 birds (Begazo 1996).<p></p>","Trapping for the local cage-bird trade is probably the sole reason for its recent and drastic decline. Trappers estimate that over 17,000 birds were caught in 1981-1994 (a claim verified by dealers), and 1,481 were legally exported in 1981-1984 (Begazo 1996), but no wild-caught specimens were recorded in international trade in 1991-1995<strong> </strong>(Snyder <em>et al.</em> 2000). The mortality rate between capture and sale is estimated at 40-100% (Dorst 1957), inevitably raising demand. By 1988, trade was reduced, with just 56 birds recorded in Lima's bird market that year (Begazo 1996). In a study during 2007-2008, 16 individuals were recorded at a market in Chiclayo, the true number traded being much higher since the rate of detection was estimated to be 3% (Gastañaga <span style=""font-style: italic;"">et al.</span> 2011). An emerging threat is the building of dams on the Marañón, with four planned to be finished by the mid-2010s (Dourojeanni <span style=""font-style: italic;"">et al.</span> 2009).<strong></strong><p></p>","The population is estimated to number 250-999 mature individuals, based on surveys by Begazo (1996) and a subsequent small scale population recovery. This equates to 375-1,499 individuals in total, rounded here to 350-1,500 individuals.",Stable,"<em>Forpus xanthops</em> occurs in the upper Marañón Valley, in south Amazonas, south-east Cajamarca and east La Libertad, north-central <strong>Peru</strong>. Most recent records originate from the Balsas area, in Amazonas/Cajamarca, and the Chagual/Hacienda Soquián area, in La Libertad (Begazo 1996, <strong> </strong>Begazo <em>et al.</em> 2001,&#160;<strong></strong>R. Webster and R. A. Rowlett<em> in litt</em><span style=""font-style: italic;"">.</span> 1998, J.&#160;Hornbuckle <em>in litt.</em> 1999)<strong></strong>, but intervening areas are considerably less accessible. Records formerly assigned to this taxon in the Bagua area of the Marañón and Utcubamba valleys, north Peru (Dorst 1957), refer to <em>F. coelestis</em><strong> </strong>(R. Webster and R. A. Rowlett<em> in litt</em><span style=""font-style: italic;"">.</span> 1998, T.&#160;S.&#160;Schulenberg <em>in litt.</em> 1999, N.&#160;Krabbe <em>in litt.</em> 2000)<strong></strong>. It was formerly abundant (Begazo 1996), but suffered a serious decline, probably during the 1980s, when it became rare in the more accessible areas (Begazo 1996<span style=""font-weight: bold;"">,</span> J.&#160;Hornbuckle <em>in litt.</em> 1999)<strong></strong>. In 1988, numbers were extremely low, with only 168 individuals counted during extensive surveys. It appears to be recovering somewhat following a ban on trade, and the number of birds traded has fallen markedly (Begazo 1996). However, there is little evidence of a substantial recovery (J.&#160;Hornbuckle <em>in litt.</em> 1999), and the species remains scarce and difficult to detect (R. Williams <span style=""font-style: italic;"">in litt.</span> 2012). <p></p>",,Terrestrial,"<strong>Conservation Actions Underway</strong><br/>CITES Appendix II. It is legally protected in Peru but this is poorly enforced. Capture rates have decreased markedly since the ban, and trappers apparently only capture the species to order (Begazo 1996). There are no protected areas within its range. <p></p><strong>Conservation Actions Proposed</strong><br/>Survey the population, especially in the less accessible centre of its range, and between the known ranges of the two <em>Forpus</em> species. Monitor the population, working with local people to generate the will to conserve the species <em>in situ<strong></strong></em> (Begazo 1996). Study its biology and ecology throughout an annual cycle. Control trade and enforce laws on trapping. Create at least one protected area within the species range (Angulo <span style=""font-style: italic;"">et al.</span> 2008).<br/><p></p>",Neotropical,,false,false,Global
93093913,22685956,Brotogeris tirica,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'common' (Stotz et al. (1996).",Stable,,,Terrestrial,,Neotropical,,false,false,Global
93094507,22685966,Brotogeris pyrrhoptera,Endangered,A2cd,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species qualifies as Endangered because it has been affected by very rapid rates of population decline caused by trapping for the cagebird trade, plus habitat loss. Future population declines are projected to be slower, but still a serious cause for concern. <p></p>","The species is most numerous in deciduous forest dominated by <em>Ceiba trichistandra</em>, but it also occurs in humid evergreen forest, dry forest, arid <em>Acacia</em>-dominated scrub and semi-open agricultural areas<strong> </strong>(Best <em>et al.</em> 1995, M. R. Rosales <span style=""font-style: italic;"">in litt.</span> 2012), and probably only sporadically in heavily degraded areas (Juniper and Parr 1998). It usually occurs in pairs or small flocks, foraging for flowers, seeds, fruit and catkins<strong> </strong>(Best 1992), with <em>Ceiba</em> fruit apparently preferred<strong></strong> (Pople <em>et al.</em> 1997). Small flocks have also been recorded taking bananas and maize<strong> </strong>(Best <em>et al.</em> 1995, Juniper and Parr 1998). Breeding has been noted between February and August, but most breeding occurs between August and December, at least in Peru (S. Crespo <em>in litt</em>. 2012, M. R. Rosales <span style=""font-style: italic;"">in litt.</span> 2012).<p></p>","The illegal cage-bird trade and habitat loss are the principal threats (Rosales and Obando 2011, S. Crespo <em>in litt</em>. 2012)<span style=""font-style: italic;""></span>. Numbers imported by CITES countries represent an absolute minimum of those in international trade, and exclude internal trade. Natural habitats are being rapidly destroyed through agricultural conversion, logging and grazing by goats and cattle, which prevents forest regeneration and seriously threatens deciduous forests<strong></strong> (Pople <em>et al.</em> 1997). Persecution as a crop-pest may also be significant<strong> </strong>(Best 1992), and the species apparently suffered from poaching pressure in the late 1990s (Rosales <span style=""font-style: italic;"">et al.</span> 2010, Rosales and Obando 2011). <p></p>",Best <em>et al</em>. (1995). <p></p>,Decreasing,"<em>Brotogeris pyrrhoptera</em> occurs in south-west <strong>Ecuador</strong> and extreme north-west <strong>Peru</strong>, from the río Chone valley, Manabí, south to El Oro and Loja, Ecuador, and Tumbes and Piura in Peru. The largest populations are in coastal Manabí and Guayas, and on the Ecuador-Peru border (Juniper and Parr 1998), with largest populations in Peru in Cerros de Amotape National Park and Tumbes National Reserve (S. Crespo <em>in litt</em>. 2012). A population decrease during the 20th century became marked in the early 1980s<strong> </strong>(Best <em>et al.</em> 1995, Juniper and Parr 1998), with 59,320 birds reportedly imported by CITES countries in 1983-1988. In 1995, the wild population was estimated at 15,000 birds, principally in Ecuador<strong> </strong>(Best <em>et al.</em> 1995). This represents a very crude decline of c.70% in 10 years, although it is still locally common in suitable habitat remnants (Juniper and Parr 1998). Transect counts in Cerros de Amotape National Park and Tumbes National Reserve revealed a decline of 33.2% between 1992 and 2008 (Anon. 2009).<br/><p></p>",,Terrestrial,"<strong>Conservation Actions Underway</strong><br/>CITES Appendix II and CMS Appendix I. International trade is banned in both Ecuador and Peru (Juniper and Parr 1998). It occurs in several protected areas, of which Cerro Blanco Protective Forest, Ecuador, and Tumbes National Reserve and Cerros de Amotape National Park, Peru, are particularly important breeding sites<strong> </strong>(Best 1992,<strong> </strong>Parker <em>et al.</em> 1995<strong></strong>, Pople <em>et al.</em> 1997, Rosales and Obando 2011, S. Crespo <em>in litt</em>. 2012)<strong></strong>. <strong></strong><p></p><strong>Conservation Actions Proposed</strong><br/>Conduct surveys and other research to determine population size and distribution (Best 1992, M. R. Rosales <span style=""font-style: italic;"">in litt.</span> 2012). Determine its habitat requirements and ecology, especially the timing of the breeding season. Monitor rates of forest loss within its range (M. R. Rosales <span style=""font-style: italic;"">in litt.</span> 2012). Enforce strict trade bans, coupled with conservation education programmes<strong> </strong>(Best 1992). Support alternative livelihood initiatives for local people, in order to discourage poaching and trapping. Protect and manage key sites within its range (M. R. Rosales <span style=""font-style: italic;"">in litt.</span> 2012) and further develop captive breeding populations.<br/><p></p>",Neotropical,,false,false,Global
93094846,22685980,Brotogeris jugularis,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size is very large, and hence does not approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"Partners in Flight estimate the total population to number 500,000-4,999,999 individuals (A. Panjabi <i>in litt.</i> 2008).",Stable,,,Terrestrial,,Neotropical,,false,false,Global
93095085,22685983,Brotogeris cyanoptera,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'common' (Stotz et al. (1996).",Stable,,,Terrestrial,,Neotropical,,false,false,Global
93095301,22685986,Brotogeris chrysoptera,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'common' (Stotz et al. (1996).",Decreasing,,,Terrestrial,,Neotropical,,false,false,Global
93095525,22685994,Brotogeris sanctithomae,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'common' (Stotz et al. (1996).",Stable,,,Terrestrial|Freshwater (=Inland waters),,Neotropical,,false,false,Global
93095727,22685997,Nannopsittaca panychlora,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"Although this species may have a restricted range, it is not believed to approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'fairly common but patchily distributed' (Stotz et al. 1996).",Stable,,,Terrestrial,,Neotropical,,false,false,Global
93096172,22686006,Touit batavicus,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'fairly common' (Stotz et al. (1996).",Decreasing,,,Terrestrial,,Neotropical,,false,false,Global
93097124,22686029,Touit purpuratus,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'uncommon' (Stotz et al. 1996).",Stable,,,Terrestrial,,Neotropical,,false,false,Global
93097352,22686037,Touit melanonotus,Vulnerable,C2a(i),2016,2016-10-01 00:00:00 UTC,3.1,English,"This species's population is likely to be small and declining, with small subpopulations. For these reasons the species is classified as Vulnerable. <p></p>","Records are principally from lower montane evergreen forest at 500-1,200&#160;m (Wege and Long 1995)<strong></strong>, but up to 1,400&#160;m in Itatiaia National Park<strong> </strong>(Juniper and Parr 1998), and near sea-level in Bahia and São Paulo<strong></strong> (Wege and Long 1995,<strong></strong> F. Olmos <em>in litt</em>. 1999). It may undertake seasonal migration or dispersal, in some areas possibly only over quite short altitudinal distances. The only known food items are the seeds of large leguminous forest trees and the fruit of <em>Rapanea acuminata</em>, <em>Clusia</em> sp. and mistletoes<strong> </strong>(E. O.&#160;Willis and Y.&#160;Oniki <em>in litt</em>. 1999). Breeding presumably occurs in September-October, but this remains unconfirmed<strong> </strong>(Collar 1997a, Collar <em>et al</em>. 2013), and juvenile was photographed in Serra dos Órgãos National Park in December 2008 (Junger and Pimentel 2009).<br/><p></p>","Agricultural conversion and deforestation for mining and plantations have historically threatened its habitats<strong></strong> (Fearnside 1996). Current key threats are urbanisation, agricultural expansion, colonisation and associated road-building<strong> </strong>(Dinerstein <em>et al</em>. 1995). Although the lower montane slopes have suffered comparatively less destruction than adjacent lowlands<strong> </strong>(Stattersfield <em>et al.</em> 1998), it has not been found at these elevations in São Paulo.<strong></strong><p></p>","In the Brazilian Red List assessment for birds (MMA 2014) it is estimated that there are &lt;10,000 mature individuals with &lt;1,000 mature individuals in each subpopulation.",Decreasing,"<em>Touit melanonotus</em> is confined to south-east <strong>Brazil</strong> (Bahia, Espírito Santo, Rio de Janeiro, São Paulo and Paraná). It is sporadically, but widely, reported in Rio de Janeiro, while in São Paulo, there are records from six sites south to Ilha do Cardoso (Wege and Long 1995). Recent records from three sites in Bahia (J. Minns <em>in litt</em>. 1999, <strong></strong>E. O.&#160;Willis and Y.&#160;Oniki <em>in litt</em>. 1999) are the first since the 19th century. The first Paraná records were made in 1997 and it is now known from seven localities, amongst which are Salto Morato Nature Reserve and Bicudinho-do-brejo Reserve (Vallejos <em>et al</em>. 2013); the voucher recording of the first published Paraná record (Mazar Barnett <span style=""font-style: italic;"">et al</span>. 2004) has been re-identified as belonging to <em>Pionopsitta pileata</em> (Vallejos <em>et al</em>. 2013). It has generally been considered rare throughout its range, even by 19th century commentators, but with the proviso that parrotlets of this genus occur at very low densities, and their inconspicuous habits result in their often being overlooked. Records from several new sites since the mid-1980s, including the first for Espírito Santo<strong> </strong>(E. O.&#160;Willis and Y.&#160;Oniki <em>in litt</em>. 1999) and Paraná (Vallejos <em>et al</em>. 2013), have stemmed from knowledge of the species's calls, after previously fruitless fieldwork in the areas involved. <p></p>",,Terrestrial,"<strong>Conservation Actions Underway</strong><br/>CITES Appendix II. In Brazil, this species is considered Vulnerable at the national level (Silveira &amp; Straube 2008, MMA 2014), and protected under Brazilian law. It occurs in numerous protected areas, with recent records from: Desengano and Pedra Branca State Parks, Itatiaia, Serra dos Órgãos and Tijuca National Parks (Rio de Janeiro); Ubatuba Experimental Station, Iguape Environmental Protection Area, Serra do Mar, Ilha do Cardoso and Intervales State Parks (São Paulo); Salto Morato Nature Reserve and Bicudinho-do-brejo Reserve (Paraná) (Wege and Long 1995, Aleixo and Galetti 1997, Collar <em>et al</em>. 2013)<strong></strong>. <p></p><strong>Conservation Actions Proposed</strong><br/>Survey suitable habitat in Bahia and Espírito Santo to clarify distribution and status. Determine seasonal abundance at different elevations. Consolidate protected areas where it occurs. <p></p>",Neotropical,,false,false,Global
93097618,22686054,Touit surdus,Vulnerable,A2c+3c+4c;C2a(i),2016,2016-10-01 00:00:00 UTC,3.1,English,"This species is listed as Vulnerable because its population is small and declining rapidly owing to ongoing deforestation. It has been found to be more resilient to forest fragmentation than first thought, and it may be under-recorded rather than genuinely scarce, especially in the southern part of its range.  <p></p>","It inhabits lowland evergreen forest and adjacent lower montane slopes, mostly below 500&#160;m, but up to 700&#160;m in Alagoas and 1,000&#160;m in Espírito Santo, Rio de Janeiro and São Paulo<strong> </strong>(Juniper and Parr 1998, E.&#160;O.&#160;Willis and Y.&#160;Oniki <em>in litt</em>. 1999). Flocks have been observed moving between distant forest fragments<strong> </strong>(A. Whittaker <em>in litt</em>. 1999). Reported foods are fruit of <em>Spondias lutea</em> and <em>Rapanea schwackeana</em>. Breeding is unrecorded. At least in Rio de Janeiro, it may undertake seasonal movements. Recent observations suggest that this species is resilient to habitat alteration.<br/><p></p>","Extensive deforestation throughout its range is regarded as the principal cause of its rarity, and the north-east population is most threatened because sugarcane plantations have replaced virtually all lowland forest in Alagoas, leaving just 2% of original forest cover<strong> </strong>(Brown and Brown 1992) in severely fragmented blocks, averaging 1.5 km<sup>2</sup> or less (Conservation International <em>et al.</em> 1995). Further south, the situation is little more encouraging: in Bahia, less than 10% of forest is intact, and in the rest of its range suitable habitat has been reduced to less than 20% of its original extent (Conservation International <em>et al.</em> 1995). Lowland forests were historically threatened by agricultural conversion and deforestation for mining and plantations (Fearnside 1996). Current key threats arise from urbanisation, agricultural expansion, colonisation and associated road-building<strong> </strong>(Dinerstein <em>et al.</em> 1995).  <p></p>","The species is generally rare; its population is placed in the band 2,500-9,999 mature individuals, equating to 3,750-14,999 individuals, rounded here to 3,500-15,000 individuals.",Decreasing,"<em>Touit surdus</em> occurs in north-east <strong>Brazil</strong> (Ceará, Paraíba, Pernambuco, Alagoas and Sergipe), and in the south-east from Bahia south to Rio de Janeiro (L. F. Silveira <span style=""font-style: italic;"">in litt</span>. 2012). Recent surveys have found it to be one of the commonest parrot in the Atlantic Forest of Alagoas (which has been reduced to &lt;2% of its former extent), being present in 5 out of 15 sites surveyed<strong> </strong>(L. F. Silveira <em>et al.</em> <span style=""font-style: italic;"">in litt</span>.) and also in Murici Ecological Station (J. M. Barnett <em>in litt. </em>2002). The species was found in 16 out of 31 surveyed areas in southern Bahia, including the private reserves Ecoparque de Una and Estação Veracruz (formerly CVRD Porto Seguro reserve), Una Biological Reserve, and Descobrimento, Pau Brasil and Monte Pascoal National Parks<strong> </strong>(Cordeiro 2002), and from 13 new localities in Pernambuco, Paraíba and Alagoas (Pereira <em>et al</em>. 2014). It was also recently found nesting in arboreal termitaria in forest fragments in Pernambuco (Telino <em>et al. </em>2000). <p></p>",,Terrestrial,"<strong>Conservation Actions Underway</strong><br/>CITES Appendix II. It is considered Vulnerable at the national level in Brazil (MMA 2014). and protected under Brazilian law. It has been recorded in numerous protected areas: Pedra Talhada Biological Reserve (Alagoas), Monte Pascoal and Serra das Lontras National Parks, Una Biological Reserve and Serra Bonita private reserve (Bahia), Córrego Grande, Sooretama and Augusto Ruschi Biological Reserves (Espírito Santo), Desengano State Park and Itatiaia National Park (Rio de Janeiro)<strong></strong>.<strong></strong><p></p><strong>Conservation Actions Proposed</strong><br/>Survey historical localities and suitable habitat to clarify distribution. Research ecology and seasonal movements. Designate Murici in Alagoas as a biological reserve and ensure its <em>de facto protection</em>. Consolidate protected areas in which it occurs. <p></p>",Neotropical,,false,false,Global
93097913,22686066,Touit stictopterus,Vulnerable,A3c; C2a(i); D1,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species apparently occurs very locally and at low densities in a declining habitat. Its population is likely to be small and declining, with very small subpopulations at each known locality. It therefore qualifies as Vulnerable. <p></p>","It inhabits the upper tropical and lower subtropical zone, favouring tall, humid, montane forest at 1,050-1,700&#160;m, but has occasionally been reported from savanna-like woodland as low as 500&#160;m, and from stunted ridge-top forest up to 2,300&#160;m. It is often seen in small flocks of 5-12, sometimes more<strong></strong> (Juniper and Parr 1998), but occasionally in pairs (J. Hornbuckle <em>in litt</em>. 1999). It feeds on fruit, including <em>Ficus</em> spp., and reportedly raids maize crops<strong></strong> (Juniper and Parr 1998). <p></p>","Its fragmented habitats are affected by continuing deforestation<strong> </strong>(Snyder <em>et al</em>. 2000), especially in Colombia. Improvements to road networks lead to deforestation associated with human settlement of new areas. Habitat loss is also known to be occurring in the Cordillera de Cutucú and at Jesús del Monte.<strong></strong><p></p>","The population is estimated to number 1,000-2,499 individuals based on an assessment of known records, descriptions of abundance and range size. This is consistent with recorded population density estimates for congeners or close relatives with a similar body size, and the fact that only a proportion of the estimated Extent of Occurrence is likely to be occupied. This estimate is equivalent to 667-1,666 mature individuals, rounded here to 600-1,700 mature individuals.",Decreasing,"<em>Touit stictopterus</em> occurs disjunctly through <strong>Colombia</strong> (Cundinamarca, Meta, Cauca), <strong>Ecuador</strong> (Napo, Morona-Santiago, Zamora-Chinchipe) and northern <strong>Peru</strong> (Cajamarca, San Martín and Amazonas<strong> </strong>[<strong></strong>Clements and Shany 2001, Brooks <span style=""font-style: italic;"">et al</span>. 2009]). A recent record from Manu Biosphere Reserve was erroneous<strong> </strong>(H. Lloyd <em>in litt</em>. 2001). It is uncommon and local throughout its range, and may already be extinct (or nearly so) in Colombia<strong></strong> (Juniper and Parr 1998), where recent surveys in apparently suitable habitat have failed to produce any records<strong></strong> (P. G. W. Salaman <em>in litt</em>. 1999). In 1983, 5-25 were recorded daily at Jesús del Monte, San Martín (Davis 1986), but it has been recorded less frequently (C. Bushell <em>in litt</em>. 1999), or not at all, by subsequent observers at this site (Wege and Long 1995), suggesting a decline (C. Bushell <em>in litt</em>. 1999). However, it appears to occur naturally at low density<strong></strong> (Juniper and Parr 1998), and may sometimes be overlooked and thus more widespread than records suggest. <p></p>",,Terrestrial,"<strong>Conservation Actions Underway</strong><br/>CITES Appendix II. It has been recorded in Sumaco Protection Forest, Cordillera de Cutucú Protection Forest, Sangay National Park and Cayambe-Coca Ecological Reserve, Ecuador, with an old specimen collected in Serranía de la Macarena National Park.<strong></strong><p></p><strong>Conservation Actions Proposed</strong><br/>Assess its distribution, population status and current threats through field surveys<strong> </strong>(Snyder <em>et al</em>. 2000). Maintain and improve the integrity of national parks in which the species occurs. Designate a protected area in the Cordillera del Cóndor, and involve local people in the land-use management of this region<strong> </strong>(Schulenberg and Awbrey 1997). <p></p>",Neotropical,,false,false,Global
93098194,22686079,Pionites melanocephalus,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'fairly common' (Stotz et al. (1996).",Stable,,,Terrestrial,,Neotropical,,false,false,Global
